fragment	first_release	first_release_commit
changelog.d/20251227_224645_changeset_support.md	0.2.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20251229_143823_fix_ci_workflow_dependencies.md	0.2.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20251231_115800_fix_readme_script_references.md	0.2.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260107_apply_best_practices.md	0.2.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260108_171124_fix_changelog_check.md	0.2.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260108_171435_prevent_manual_version_modification.md	0.2.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260108_apply_lino_objects_codec_fixes.md	0.2.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260111_multi_language_support.md	0.2.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260119_best_practices_from_browser_commander.md	0.2.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260311_translate_scripts_to_rust.md	0.2.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260413_fix_cargo_token_fallback.md	0.6.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260413_fix_crates_io_check.md	0.3.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260413_fix_lookahead_regex.md	0.5.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260413-ci-cd-best-practices.md	0.4.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260414_fix_per_commit_diff.md	0.7.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260415_fix_workspace_release_scripts.md	0.8.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260501_decouple_docs_deploy.md	0.8.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260503_111500_ci_timeouts.md	0.9.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260503_111700_file_size_warning_threshold.md	0.9.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260509_031015_human_readable_release_titles.md	0.10.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260509_205000_docker_hub_release_publishing.md	0.11.0	6f8d4a8a05770adfd2fe33fdf3c6c586efb103af
changelog.d/20260512_110000_formal_ai_initial_implementation.md	0.55.0	96d11856c04b47cbf0da41de4ba05d29f67ee62c
changelog.d/20260512_110000_formal_ai_prototype.md	0.13.0	cec72aff1e79c56cd49674f29a15b313b1b6ad8b
changelog.d/20260512_170000_fix_pages_workflow_deploy.md	0.15.0	1c7ff0b2360a522bff491a868640b3985acbfb2a
changelog.d/20260512_181444_issue_6_demo_ui.md	0.16.0	a635a78445703864bb47996321250c8ec688fb47
changelog.d/20260512_193000_issue_10_demo_reporting.md	0.17.0	bb5c2c83c6fc5d0b35b26f102c40f603492d40d7
changelog.d/20260512_193000_issue_8_telegram_bot.md	0.18.0	11156476d99bab1c00b5f93cbf1a76a09ae40f06
changelog.d/20260512_200000_telegram_polling_cli.md	0.18.0	11156476d99bab1c00b5f93cbf1a76a09ae40f06
changelog.d/20260513_142400_issue_12_vision_docs.md	0.19.0	1668d9fb07ff29d73f831435280069e74846f14d
changelog.d/20260514_210000_issue_12_mvp_test_suite.md	0.19.0	1668d9fb07ff29d73f831435280069e74846f14d
changelog.d/20260514_210000_issue_12_requirements_test_suite.md	0.55.0	96d11856c04b47cbf0da41de4ba05d29f67ee62c
changelog.d/20260514_220000_issue_12_universal_solver.md	0.19.0	1668d9fb07ff29d73f831435280069e74846f14d
changelog.d/20260515_000000_fix_incompatible_unit_query.md	0.36.0	00280fbc506365fcaf49344803d96cee3d62567a
changelog.d/20260515_120000_clarification_intent.md	0.30.0	805c3e22ab58fe5aef2b1b5dcaa1ccfa10e6aa06
changelog.d/20260515_120000_issue_14_unified_demo.md	0.20.0	671679d4f37f2823c600c2e07c6cf0ab43c5ae99
changelog.d/20260515_180000_issue_16_universal_seed.md	0.21.0	6398fdeee7c9d5e149027a5943cc262ae068e086
changelog.d/20260515_184419_issue_27_fixes_and_improvements.md	0.27.0	38e577b0bb583375d0ce17c53756e73d0498e9a8
changelog.d/20260515_190000_issue_21_multilingual_urls.md	0.25.0	57e909b36627dac8eb98b0c71c2f5a52c4927758
changelog.d/20260515_200000_issue_37_conversation_summary_phrases.md	0.28.0	308df61d284d9dbedbfc724832ef18fbfa988f14
changelog.d/20260515_204450_issue_39_inappropriate_content.md	0.35.0	0c4bf9a88ac3fd562400179ed6b0e88858142f70
changelog.d/20260515_210000_issue_30_nazovi_tsvet.md	0.35.0	0c4bf9a88ac3fd562400179ed6b0e88858142f70
changelog.d/20260515_210000_issue_44_unknown_prompt_report_title.md	0.35.0	0c4bf9a88ac3fd562400179ed6b0e88858142f70
changelog.d/20260515_210000_issue_49_russian_capabilities_and_confusion.md	0.37.0	abad340a635a5ae707e5fa404c88147ac0a4a022
changelog.d/20260515_210000_issue_50_shabbat_shalom_greeting.md	0.36.0	00280fbc506365fcaf49344803d96cee3d62567a
changelog.d/20260515_212304_bigint_arithmetic.md	0.32.0	49f060c7e8c46203277a3c1a58cb8675bea7a7d2
changelog.d/20260515_215000_cargo_lock_release_sync.md	0.33.0	21f5dc392bf9d3d5324d875a8de7ec04aa1639bf
changelog.d/20260515_220000_issue_18_full_memory.md	0.22.0	fe796c0614990a9c36dcb509bd8077579713fae8
changelog.d/20260515_220000_issue_20_concept_context.md	0.26.0	c8632c18f9f767e2decc304083a20ca23225d7b8
changelog.d/20260515_220000_issue_51_meta_explanation_russian.md	0.36.0	00280fbc506365fcaf49344803d96cee3d62567a
changelog.d/20260515_230000_issue_24_pages_e2e.md	0.23.0	579379a84061d2bb2cf81453eaeac7b0c5b60eb7
changelog.d/20260515_230000_issue_31_kiss_principle.md	0.29.0	e71520e735a095874e1c7aaaa6efc33878719569
changelog.d/20260515_235000_issue_40_demo_hint.md	0.31.0	ae6bace9904f7162bae2c95ab5bb5b48f7d04c07
changelog.d/20260515_235900_issue_52_how_it_works.md	0.33.0	21f5dc392bf9d3d5324d875a8de7ec04aa1639bf
changelog.d/20260515_235900_issue_53_russian_hello_world.md	0.34.0	c4f42be17f0e627dffca0d5147ffc830fe5885cf
