cycle                   v2 changed  v3 changed  recorded  v2 share  v3 share
v0.301.0                     42617       32342     24.1%    17.13%     6.00%
v0.301.1                      3366        1965     41.6%    17.11%    29.31%
v0.302.0                      8291        6509     21.5%    17.35%    13.55%
v0.302.1                      2039         963     52.8%    43.84%    92.83%
v0.302.2                      5224        2953     43.5%    41.36%     0.00%
v0.302.3                      3994        1510     62.2%    54.28%     0.00%
v0.303.0                      3552        1029     71.0%    61.03%     0.00%
v0.304.0                     16704        8005     52.1%    21.71%    12.87%
v0.304.1                       886         349     60.6%     0.00%     0.00%
v0.305.0                     17448        8775     49.7%    40.45%     1.05%
v0.305.1                      1436        1298      9.6%     2.43%     1.30%
v0.306.0                     11894        8722     26.7%    99.97%    99.96%
v0.306.1                       611         429     29.8%     0.00%     0.00%
v0.307.0                      6322        5609     11.3%    62.67%    62.29%
v0.307.1                     14223         960     93.3%    57.18%    37.81%
v0.308.0                      4628        4274      7.6%     0.00%     0.00%
v0.309.0                     12762       11710      8.2%    40.91%    41.23%
v0.310.0                     10280        9632      6.3%    97.87%    97.73%
v0.311.0                     21753        3272     85.0%    72.34%     3.05%
v0.311.1                      7093        4658     34.3%    30.83%     0.12%
v0.312.0                     22666       14118     37.7%    28.68%     4.52%
v0.312.1                      5522        4965     10.1%    98.58%    98.42%
v0.313.0                      9026        7934     12.1%     3.24%     0.08%
v0.314.0                      8550        8095      5.3%     0.08%     0.00%
v0.315.0                      4433        4220      4.8%     0.00%     0.00%
v0.316.0                     12327       10518     14.7%     2.00%     0.27%
v0.316.1                      5401        4935      8.6%    25.79%    20.42%
v0.317.0                     11864        8830     25.6%     0.50%     0.05%
v0.318.0                      2470        1604     35.1%     0.32%     0.00%
v0.319.0                     14569       12680     13.0%    18.49%    15.86%
v0.319.1                      1688        1448     14.2%     0.00%     0.00%
v0.319.2                      2694        2351     12.7%     0.81%     0.93%
v0.320.0                      7460        6378     14.5%     7.19%     1.75%
v0.321.0                      2593        2091     19.4%     0.30%     0.00%
v0.322.0                      9023        7312     19.0%     0.78%     0.45%
v0.323.0                      2020        1741     13.8%     0.09%     0.00%
v0.324.0                      3946        3596      8.9%     0.20%     0.00%
v0.324.1                     16153       13528     16.3%     0.00%     0.00%
v0.324.2                       363         266     26.7%     5.78%     7.89%
v0.324.3                      1461         250     82.9%     0.00%     0.00%
v0.325.0                      1157         944     18.4%     1.03%     0.63%
v0.326.0                      2964        2937      0.9%     0.00%     0.00%
v0.326.1                      1338        1227      8.3%     0.00%     0.00%
v0.326.2                     10242        3636     64.5%     0.00%     0.00%
v0.326.3                      1323        1257      5.0%     0.00%     0.00%
v0.327.0                     15790       14964      5.2%     0.00%     0.00%
v0.328.0                      2375        1726     27.3%     0.00%     0.00%
v0.329.0                      5069        3481     31.3%     0.00%     0.00%
v0.329.1                      2193         357     83.7%     0.00%     0.00%
v0.330.0                      3694        3666      0.8%     0.00%     0.00%
v0.331.0                      3741        3741      0.0%     0.00%     0.00%
v0.332.0                     16499       15807      4.2%     0.00%     0.00%
v0.332.1                       510         378     25.9%     0.00%     0.00%
v0.333.0                      2357        2176      7.7%     0.00%     0.00%
v0.333.1                      2038        1486     27.1%     0.00%     0.00%
v0.333.2                      3437        3199      6.9%     0.00%     0.00%
v0.334.0                    110344       26674     75.8%     0.00%     0.00%
v0.335.0                      2194        1910     12.9%     0.36%     0.00%
v0.336.0                      3259        2546     21.9%     2.70%     0.00%
v0.337.0                      3004        2547     15.2%    89.51%    87.90%
v0.338.0                     24532       23381      4.7%     0.13%     0.00%
v0.339.0                      2069        1791     13.4%     0.19%     0.11%
v0.339.1                       880         828      5.9%     0.00%     0.00%
v0.339.2                     38438        8235     78.6%     0.04%     0.00%
v0.339.3                       445         445      0.0%     0.00%     0.00%
v0.340.0                      2027        1619     20.1%     0.00%     0.00%
v0.341.0                     22357       21328      4.6%     0.00%     0.00%
v0.342.0                      2387        2112     11.5%    12.27%     4.45%
v0.343.0                      2369        1705     28.0%     6.96%     3.51%
v0.344.0                      3554        3230      9.1%     0.22%     0.00%
v0.345.0                     11741        6750     42.5%    17.73%     1.98%
HEAD (open cycle)           423418       92146     78.2%     0.43%     0.18%

trailing target under v2 (last 3 recorded cycles, replayed): 12.76% (2255/17664)

trailing target under v3 (last 3 recorded cycles, replayed): 1.66% (194/11685)
authored lines the open cycle still needs under v2: 59685
authored lines the open cycle still needs under v3: 1418
